date,open,high,low,close,volume,average,barCount
2025-02-27,88.25,89.07,87.95,88.29,1841883.0,88.453,12074
2025-02-28,89.33,89.8,88.33,89.79,1908376.0,89.038,11267
2025-03-03,89.61,90.85,89.34,90.85,2173926.0,90.324,13198
2025-03-04,91.4,92.33,89.76,89.89,4128732.0,90.95,23327
2025-03-05,89.21,90.19,88.37,88.65,2296409.0,89.066,13865
2025-03-06,88.25,89.16,87.09,88.72,3173380.0,88.31,19211
2025-03-07,88.55,91.77,88.52,91.4,4089433.0,90.981,24573
2025-03-10,91.45,93.48,91.2,92.96,4106099.0,92.627,25256
2025-03-11,92.5,92.68,89.96,90.1,3285975.0,90.818,21159
2025-03-12,89.42,89.61,88.3,88.68,2749188.0,88.866,14322
2025-03-13,89.11,90.0,88.68,89.63,1978597.0,89.362,10619
2025-03-14,89.36,90.54,88.78,90.38,1404507.0,90.08,8735
2025-03-17,90.35,91.41,89.86,90.54,1655578.0,90.823,9312
2025-03-18,90.13,90.47,89.66,90.23,1650493.0,90.031,8407
2025-03-19,90.0,90.49,89.27,89.6,1519088.0,89.718,9036
2025-03-20,89.92,90.06,89.14,89.97,2084190.0,89.59,11847
2025-03-21,89.84,90.67,88.75,89.36,3468408.0,89.464,14193
2025-03-24,89.16,90.14,88.77,88.88,1462601.0,89.201,9124
2025-03-25,88.92,88.92,87.4,87.73,1918995.0,87.835,11662
2025-03-26,88.0,89.2,87.85,89.06,1491077.0,88.875,8981
2025-03-27,89.47,90.28,89.0,90.03,1954870.0,89.93,11991
2025-03-28,90.88,91.44,90.27,91.13,2514591.0,91.066,16162
2025-03-31,91.55,92.69,91.09,91.95,2482788.0,91.95,16245
2025-04-01,91.6,92.17,91.15,91.82,1857924.0,91.79,12350
2025-04-02,92.0,92.05,90.71,91.3,2523766.0,91.118,17054
2025-04-03,92.73,93.31,92.0,92.56,4075085.0,92.773,24622
2025-04-04,93.21,93.65,88.49,88.94,4796987.0,90.556,30026
2025-04-07,87.75,89.43,86.36,87.22,4248486.0,87.506,26781
2025-04-08,88.69,88.69,86.16,86.86,3193792.0,87.379,19292
2025-04-09,86.31,89.4,85.0,87.8,4379501.0,86.921,26951
2025-04-10,87.98,89.7,87.0,88.89,3840329.0,88.581,23800
2025-04-11,88.46,90.18,87.68,89.86,2022453.0,89.559,12911
2025-04-14,89.77,91.69,89.16,91.16,1558300.0,91.062,9867
2025-04-15,91.56,91.7,90.93,91.02,997576.0,91.295,6233
2025-04-16,91.81,91.9,90.26,90.47,1385757.0,90.949,8524
2025-04-17,90.89,93.04,90.81,91.81,1899660.0,92.107,9679
2025-04-21,91.62,91.71,89.58,90.23,1765924.0,90.287,10596
2025-04-22,90.79,92.22,90.25,91.86,1963352.0,91.442,11469
2025-04-23,91.48,91.58,90.17,91.13,2597607.0,90.844,16121
2025-04-24,91.04,91.44,90.26,91.05,1378557.0,90.975,8687
2025-04-25,91.05,91.34,90.15,90.43,1291274.0,90.514,8556
2025-04-28,90.35,91.05,89.82,90.75,1176040.0,90.585,7429
2025-04-29,90.6,91.6,90.33,91.45,1446937.0,91.221,10114
2025-04-30,91.85,92.23,90.4,91.89,2038674.0,91.448,13226
2025-05-01,92.44,92.44,90.75,91.46,2396579.0,91.809,16083
2025-05-02,91.34,91.85,90.37,91.05,1956800.0,91.003,12719
2025-05-05,91.3,91.55,90.13,91.05,1761159.0,90.969,10275
2025-05-06,91.07,91.84,90.9,91.22,1275491.0,91.389,7996
2025-05-07,90.94,92.56,90.94,92.11,1894490.0,92.108,10837
2025-05-08,91.65,92.06,90.17,90.31,1823657.0,90.948,10485
2025-05-09,90.32,90.84,90.04,90.35,1259840.0,90.346,8356
2025-05-12,89.35,89.72,87.46,87.78,3155051.0,88.08,19067
2025-05-13,87.79,88.26,85.51,85.57,4010498.0,86.28,22766
2025-05-14,85.2,85.58,83.09,84.91,5405634.0,84.328,26793
2025-05-15,85.61,87.4,85.6,87.38,2547405.0,86.771,16588
2025-05-16,87.29,88.74,87.13,88.71,2211236.0,88.063,12008
2025-05-19,88.56,89.54,88.08,89.48,3150623.0,89.035,18576
2025-05-20,89.34,91.0,89.2,90.83,5184741.0,90.519,30650
2025-05-21,90.7,90.81,89.29,89.66,4178273.0,89.924,24434
2025-05-22,89.49,89.49,88.39,88.84,2053782.0,88.969,13826
2025-05-23,89.54,89.75,88.12,89.64,1679702.0,89.083,9290
2025-05-27,90.01,90.27,89.56,89.92,2265563.0,89.951,12283
2025-05-28,89.63,89.92,87.6,88.22,2240325.0,88.462,14429
2025-05-29,87.89,88.8,87.41,88.75,1737392.0,88.483,11110
2025-05-30,88.66,90.07,88.34,90.0,3064823.0,89.601,19155
2025-06-02,89.3,90.02,88.84,89.94,2038502.0,89.659,12754
2025-06-03,89.94,90.09,88.71,89.59,2354085.0,89.433,14606
2025-06-04,89.6,89.62,88.27,88.29,2869431.0,88.866,16510
2025-06-05,89.3,89.31,88.08,88.38,4119574.0,88.54,21084
2025-06-06,88.54,88.69,87.73,88.26,2455851.0,88.237,12793
2025-06-09,87.72,89.17,87.49,88.5,2145942.0,88.596,12823
2025-06-10,88.67,89.53,88.57,89.3,2075113.0,89.149,13040
2025-06-11,89.21,89.65,88.91,89.55,2897831.0,89.401,16615
2025-06-12,89.85,91.05,89.42,90.36,4080171.0,90.259,24766
2025-06-13,90.76,91.07,89.93,90.35,2142733.0,90.509,13780
2025-06-16,90.56,90.93,88.78,88.94,2855046.0,89.545,16076
2025-06-17,88.95,89.18,87.84,88.42,2006290.0,88.423,12702
2025-06-18,88.54,88.96,88.14,88.63,2964698.0,88.566,14692
2025-06-20,88.6,89.96,88.47,89.3,4839075.0,89.073,16630
2025-06-23,89.7,90.74,89.44,90.67,3537459.0,90.424,18117
2025-06-24,90.48,91.29,90.44,90.89,2800626.0,90.967,12076
2025-06-25,90.56,90.69,89.81,90.4,2787651.0,90.263,14743
2025-06-26,90.43,91.0,89.47,90.35,3229293.0,90.162,19399
2025-06-27,90.24,91.3,90.19,90.9,2496014.0,90.808,13690
2025-06-30,90.59,91.94,90.43,91.83,2157431.0,91.422,12709
2025-07-01,92.0,92.52,91.27,92.3,4093220.0,92.014,21058
2025-07-02,91.79,92.2,90.49,91.15,3252743.0,91.294,17444
2025-07-03,91.0,91.97,90.63,91.51,1778967.0,91.512,10005
2025-07-07,91.44,91.73,91.15,91.66,1814837.0,91.494,9934
2025-07-08,90.9,91.57,90.38,91.26,2187489.0,91.087,10712
2025-07-09,91.4,91.98,90.75,91.96,1724567.0,91.465,9736
2025-07-10,91.45,93.68,91.45,93.26,3791666.0,93.02,19213
